brand,total_tweets,inbound_tweets,outbound_tweets,estimated_conversations,usable_conversations,usable_conversation_pct,avg_conv_length,median_conv_length,canned_response_rate_pct,inbound_duplicate_rate_pct,escalation_phrase_rate_pct,short_noise_inbound_pct
AmazonHelp,373438,203598,169840,82534,82534,100.0,4.53,3.0,0.02,1.79,9.66,0.33
AppleSupport,238624,131764,106860,80702,80702,100.0,2.96,2.0,0.08,2.31,60.09,0.19
Uber_Support,128424,72154,56270,41923,41923,100.0,3.07,2.0,0.13,2.25,42.93,0.11
SpotifyCares,91808,48543,43265,28280,28280,100.0,3.25,2.0,0.01,1.77,34.85,0.3
AmericanAir,86818,50054,36764,26385,26385,100.0,3.32,2.0,0.0,0.94,21.32,0.1
Delta,87549,45296,42253,26166,26166,100.0,3.36,2.0,0.02,1.67,18.58,1.89
comcastcares,72610,39579,33031,24061,24061,100.0,3.04,2.0,0.04,2.33,73.34,0.12
TMobileHelp,81475,47158,34317,22789,22789,100.0,3.63,2.0,0.04,1.87,84.27,0.26
SouthwestAir,64347,35370,28977,21636,21636,100.0,2.99,2.0,0.01,1.21,18.94,0.06
Ask_Spectrum,59112,33252,25860,18530,18530,100.0,3.22,2.0,0.17,1.31,54.64,0.07
Tesco,72801,34228,38573,16721,16721,100.0,4.38,4.0,0.03,1.42,33.06,1.17
British_Airways,60548,31187,29361,16450,16450,100.0,3.69,3.0,0.0,0.73,18.51,0.01
VirginTrains,65649,37832,27817,14850,14850,100.0,4.43,3.0,0.17,1.8,4.27,0.02
sprintcare,52593,30212,22381,13555,13555,100.0,3.99,2.0,0.13,1.4,53.1,0.63
XboxSupport,56952,32395,24557,13454,13454,100.0,4.29,3.0,0.04,1.78,22.83,0.14
