,pred_delivery_status_tracking,pred_return_refund_exchange,pred_damaged_defective_wrong_item,pred_order_cancellation_modification,pred_payment_billing_promotions,pred_prime_digital_services,pred_account_access_security,pred_product_seller_inquiry,pred_feedback_complaint_chatter,pred_other_unclear
gold_delivery_status_tracking,22,0,1,1,2,0,0,0,0,20
gold_return_refund_exchange,1,8,0,0,0,0,1,1,2,6
gold_damaged_defective_wrong_item,2,1,1,1,0,2,0,1,1,6
gold_order_cancellation_modification,1,0,0,5,0,0,0,0,0,3
gold_payment_billing_promotions,1,0,1,0,6,3,0,0,0,12
gold_prime_digital_services,0,0,0,0,0,5,0,0,3,13
gold_account_access_security,0,0,0,0,1,0,7,0,2,4
gold_product_seller_inquiry,1,0,0,0,0,0,0,2,0,7
gold_feedback_complaint_chatter,5,3,0,0,0,1,0,0,11,13
gold_other_unclear,0,0,0,0,0,0,0,0,0,10
